名称,面数据
萧宏墓石刻遗址公园,"13239082.11,3752693.47,13239088.12,3752695.95,13239239.64,3752473.4,13239237.08,3752466.46,13239116.61,3752430.51,13239109.04,3752431.95,13239124.63,3752533.42,13239120.06,3752549.89,13239063.07,3752605.99,13239082.11,3752693.47"
白鹭洲公园,"13224921.89,3743380.1,13224909.98,3743387.28,13224899.16,3743401.01,13224885.06,3743422.95,13224873.35,3743445.95,13224867.02,3743465.28,13224871.03,3743501.21,13224875.24,3743560.94,13224882.49,3743580.27,13224906.54,3743595.3,13224920.12,3743622.08,13224930.02,3743671.86,13224926.01,3743694.34,13224928.78,3743722.16,13224930.02,3743733.66,13224932.71,3743748.03,13224936.03,3743763.46,13224940.48,3743774.04,13224949.5,3743781.09,13224963.08,3743786.32,13224977.11,3743795.6,13224986.13,3743803.43,13224995.26,3743816.77,13224999.03,3743833.49,13225005.16,3743852.44,13225013.94,3743862.88,13225026.52,3743875.84,13225045.44,3743903.26,13225057.58,3743926.52,13225065.4,3743942.34,13225074.17,3743955.39,13225080.18,3743964.02,13225092.09,3743968.86,13225113.81,3743970.56,13225164.14,3743971.99,13225201.53,3743970.16,13225214.0,3743963.24,13225223.45,3743950.57,13225231.15,3743929.01,13225232.47,3743880.8,13225240.61,3743863.94,13225248.06,3743850.35,13225259.2,3743844.61,13225279.44,3743835.32,13225286.01,3743830.22,13225288.26,3743823.96,13225286.69,3743812.58,13225278.44,3743785.14,13225235.04,3743602.75,13225214.0,3743526.3,13225175.16,3743346.38,13225170.79,3743344.55,13225167.67,3743341.94,13225162.02,3743342.34,13225144.3,3743347.04,13225135.09,3743347.56,13225114.93,3743342.2,13225105.91,3743333.59,13225091.33,3743312.03,13225081.75,3743294.51,13225076.5,3743289.03,13225069.72,3743287.85,13225057.94,3743296.6,13225007.73,3743327.31,13224972.22,3743347.56,13224943.05,3743365.73,13224921.89,3743380.1"
凤凰山公园,"13205753.8,3749116.5,13205746.34,3749129.06,13205751.35,3749166.04,13205745.34,3749205.01,13205716.85,3749271.01,13205692.36,3749335.98,13205685.35,3749347.1,13205673.33,3749349.57,13205653.41,3749345.13,13205595.82,3749330.5,13205587.8,3749335.98,13205580.35,3749342.0,13205545.85,3749441.08,13205548.85,3749453.5,13205554.86,3749464.48,13205564.32,3749469.98,13205717.85,3749488.53,13205801.57,3749492.98,13205855.87,3749489.05,13205900.87,3749484.09,13205950.61,3749480.16,13206039.33,3749473.51,13206147.34,3749466.06,13206178.84,3749462.01,13206189.3,3749460.04,13206198.31,3749452.98,13206201.32,3749435.07,13206193.87,3749372.59,13206186.85,3749362.52,13206087.3,3749298.99,13206020.86,3749245.52,13205978.34,3749218.08,13205911.89,3749135.59,13205895.3,3749121.6,13205798.88,3749097.03,13205786.3,3749098.07,13205775.84,3749101.08,13205753.8,3749116.5"
老行当博物馆,"13213721.24,3741427.16,13213691.18,3741388.1,13213604.26,3741472.62,13213634.76,3741502.15,13213721.24,3741427.16"
江宁体育公园,"13231200.59,3734432.43,13231204.59,3734435.94,13231312.6,3734466.37,13231318.61,3734465.45,13231323.18,3734464.41,13231326.62,3734461.41,13231377.6,3734304.86,13231377.6,3734300.42,13231373.59,3734297.43,13231367.14,3734297.43,13231224.07,3734344.42,13231220.06,3734347.43,13231212.61,3734354.86,13231198.14,3734422.36,13231200.59,3734432.43"
朝天宫,"13222811.59,3746012.9,13222817.6,3746016.83,13222836.08,3746012.9,13222860.57,3746002.84,13222864.01,3745995.4,13222855.56,3745985.34,13222852.11,3745977.37,13222849.1,3745969.91,13222841.53,3745962.86,13222828.06,3745940.38,13222821.05,3745921.83,13222812.03,3745891.37,13222814.04,3745834.4,13222824.62,3745819.89,13222850.55,3745802.37,13222913.54,3745903.91,13222923.56,3745908.87,13222931.58,3745905.34,13222994.06,3745871.9,13222995.06,3745863.39,13222988.05,3745848.37,13223061.06,3745800.42,13223064.07,3745785.91,13223062.06,3745775.85,13222904.65,3745536.82,13222884.61,3745538.91,13222873.59,3745526.89,13222833.63,3745509.37,13222824.62,3745499.83,13222797.57,3745489.39,13222764.06,3745489.9,13222743.1,3745493.29,13222672.09,3745537.87,13222669.08,3745545.84,13222717.42,3745645.03,13222734.57,3745699.92,13222752.12,3745748.92,13222773.4,3745833.08,13222802.14,3745949.39,13222811.59,3746012.9"
武定门公园,"13225003.84,3742438.74,13225003.48,3742453.5,13225061.95,3742691.68,13225109.48,3742898.1,13225124.07,3742955.46,13225130.96,3742960.7,13225158.01,3742969.45,13225225.46,3742983.95,13225220.45,3742962.91,13225214.56,3742939.39,13225095.53,3742514.25,13225044.36,3742328.87,13225029.97,3742303.92,13225021.51,3742296.46,13225000.71,3742290.59,13224991.02,3742284.97,13224985.45,3742292.42,13224988.45,3742335.53,13225003.84,3742438.74"
阅江楼风景区,"13220380.62,3753348.6,13220380.5,3753339.31,13220377.17,3753333.65,13220368.31,3753329.09,13220356.45,3753324.6,13220348.76,3753325.02,13220336.69,3753327.75,13220328.24,3753336.12,13220318.22,3753357.71,13220302.75,3753422.22,13220289.52,3753455.78,13220281.15,3753501.41,13220274.46,3753527.74,13220248.97,3753613.83,13220240.99,3753617.8,13220226.89,3753618.8,13220165.53,3753591.25,13220022.94,3753471.32,13219990.4,3753448.24,13219934.9,3753416.7,13219924.92,3753414.25,13219909.01,3753420.76,13219885.44,3753441.21,13219875.46,3753446.33,13219862.92,3753446.87,13219855.03,3753443.28,13219845.37,3753433.26,13219845.41,3753385.27,13219844.49,3753294.27,13219847.73,3753259.52,13219851.54,3753234.84,13219854.75,3753211.75,13219860.88,3753182.37,13219761.89,3753182.97,13219592.01,3753164.34,13219552.98,3753159.25,13219533.54,3753152.74,13219501.4,3753147.97,13219478.96,3753151.76,13219459.92,3753151.28,13219451.15,3753155.95,13219443.81,3753161.92,13219438.8,3753168.82,13219431.99,3753177.81,13219433.43,3753212.33,13219438.92,3753281.9,13219434.47,3753300.31,13219426.02,3753310.34,13219414.0,3753314.86,13219388.87,3753321.81,13219388.51,3753345.73,13219390.47,3753361.81,13219406.5,3753385.29,13219412.91,3753399.84,13219417.12,3753418.03,13219432.79,3753425.68,13219452.03,3753429.05,13219458.92,3753441.11,13219443.77,3753497.91,13219429.38,3753542.03,13219409.75,3753590.3,13219406.18,3753621.53,13219425.94,3753644.39,13219588.52,3753759.04,13219720.61,3753825.6,13219849.22,3753865.52,13219961.07,3753881.74,13220096.0,3753879.77,13220176.39,3753865.54,13220222.92,3753846.88,13220252.61,3753783.99,13220266.64,3753712.24,13220278.46,3753645.72,13220309.4,3753558.79,13220325.43,3753521.22,13220334.89,3753487.74,13220380.62,3753348.6"
珍珠泉野生动物生态园,"13209621.08,3756953.93,13209492.08,3757080.42,13209384.51,3757165.46,13209268.53,3757256.37,13209136.61,3757361.4,13209047.12,3757419.35,13208875.55,3757499.41,13208701.59,3757578.43,13208484.06,3757675.36,13208318.51,3757756.33,13208273.54,3757780.92,13208114.56,3757871.86,13208080.62,3757895.4,13208028.08,3757921.96,13207926.13,3757983.84,13207892.62,3758011.44,13207830.03,3758063.38,13207800.53,3758091.9,13207790.07,3758111.39,13207785.62,3758145.92,13207790.07,3758174.84,13207818.56,3758289.43,13207817.0,3758308.4,13207785.06,3758412.41,13207784.06,3758431.39,13207795.08,3758468.39,13207806.1,3758478.34,13207851.55,3758497.83,13207917.11,3758560.37,13207929.13,3758576.33,13207936.59,3758601.84,13207942.04,3758685.84,13207948.05,3758701.4,13207973.54,3758710.43,13207990.13,3758705.85,13208035.53,3758680.86,13208049.56,3758679.42,13208367.6,3758783.95,13208444.54,3758796.39,13208465.02,3758793.38,13208623.52,3758923.95,13208634.1,3758946.45,13208644.56,3758960.84,13208676.1,3758970.39,13208688.56,3758979.41,13208703.03,3758997.35,13208733.09,3759093.89,13208747.55,3759116.92,13208771.6,3759135.9,13208784.62,3759155.39,13208778.61,3759195.94,13208766.59,3759219.9,13208700.59,3759291.46,13208680.11,3759320.38,13208673.53,3759343.4,13208674.54,3759362.89,13208690.57,3759389.45,13208784.06,3759457.35,13208883.01,3759478.93,13208906.05,3759472.92,13208919.56,3759455.4,13208932.58,3759417.45,13208931.58,3759395.33,13208920.32,3759381.46,13209018.38,3759309.24,13209087.75,3759274.96,13209149.43,3759289.89,13209172.47,3759335.29,13209178.57,3759381.34,13209179.57,3759429.35,13209168.55,3759455.4,13209167.54,3759480.91,13209182.05,3759509.94,13209202.53,3759530.37,13209253.07,3759555.88,13209304.6,3759558.35,13209340.55,3759533.9,13209373.61,3759499.36,13209402.55,3759493.86,13209427.59,3759503.41,13209471.04,3759597.87,13209494.64,3759610.42,13209515.56,3759613.83,13209562.09,3759590.93,13209584.57,3759558.35,13209589.02,3759520.43,13209586.01,3759391.41,13209596.03,3759327.43,13209607.05,3759298.4,13209645.56,3759268.42,13209708.04,3759253.38,13209750.12,3759260.45,13209776.61,3759282.43,13209810.11,3759290.92,13209826.59,3759289.37,13209914.07,3759254.95,13209931.1,3759262.41,13209963.6,3759293.93,13209991.58,3759319.46,13210017.06,3759331.88,13210051.13,3759336.86,13210130.6,3759325.86,13210173.12,3759330.84,13210197.04,3759339.33,13210228.1,3759369.42,13210245.05,3759401.89,13210288.13,3759558.89,13210299.6,3759583.88,13210312.62,3759598.39,13210334.54,3759603.37,13210375.06,3759609.91,13210491.04,3759615.93,13210726.04,3759600.88,13210808.55,3759614.89,13210871.55,3759616.44,13210888.02,3759620.37,13210902.61,3759631.89,13210904.61,3759648.37,13210986.09,3759807.34,13210999.55,3759883.89,13210980.08,3759933.87,13210965.61,3759951.41,13210936.55,3759964.88,13210908.06,3759967.37,13210729.04,3759931.9,13210699.55,3759922.35,13210630.54,3759883.89,13210602.61,3759857.46,13210592.59,3759832.33,13210590.58,3759794.39,13210574.55,3759746.9,13210548.06,3759734.34,13210480.02,3759721.39,13210446.07,3759720.87,13210250.06,3759774.38,13210083.63,3759819.38,13210037.54,3759824.88,13209893.03,3759832.85,13209855.08,3759841.88,13209819.13,3759857.46,13209779.06,3759885.84,13209664.6,3759897.36,13209548.62,3759920.4,13209411.56,3759955.85,13209401.54,3759967.37,13209398.1,3759976.4,13209401.1,3759999.42,13209409.56,3760025.47,13209463.58,3760077.92,13209494.08,3760087.35,13209627.09,3760101.87,13209665.6,3760112.85,13209705.56,3760147.93,13209898.04,3760441.42,13209916.07,3760457.9,13210031.53,3760510.38,13210164.54,3760518.89,13210192.03,3760526.86,13210208.06,3760545.43,13210238.04,3760613.87,13210243.05,3760653.91,13210239.04,3760728.36,13210246.58,3760765.41,13210277.55,3760813.42,13210299.03,3760829.9,13210329.53,3760839.33,13210408.12,3760846.92,13210492.04,3760829.38,13210557.64,3760830.44,13210647.57,3760861.45,13210676.06,3760879.36,13210694.1,3760897.96,13210704.56,3760927.39,13210700.11,3760998.44,13210701.11,3761037.84,13210708.0,3761082.46,13210716.58,3761114.9,13210787.59,3761229.93,13210818.13,3761252.83,13210837.05,3761256.88,13210955.59,3761227.84,13211012.58,3761204.94,13211029.05,3761201.4,13211044.08,3761205.46,13211055.58,3761215.92,13211065.6,3761235.95,13211067.6,3761270.89,13211063.03,3761305.96,13211049.57,3761346.92,13211044.56,3761386.44,13211068.04,3761502.38,13211079.06,3761519.38,13211097.1,3761535.35,13211118.58,3761568.47,13211105.55,3761596.87,13211055.02,3761644.36,13210988.09,3761738.84,13210954.03,3761804.92,13210943.57,3761842.87,13210953.59,3761985.92,13210971.06,3762030.92,13211003.56,3762075.94,13211058.02,3762103.82,13211110.0,3762104.34,13211133.61,3762100.41,13211173.0,3762078.83,13211204.06,3762067.83,13211247.58,3762061.41,13211280.52,3762062.33,13211375.06,3762079.35,13211436.5,3762079.35,13211632.55,3762055.93,13211719.03,3762034.33,13211816.53,3761995.86,13212035.06,3761911.45,13212288.1,3761805.44,13212518.53,3761708.35,13212702.76,3761627.88,13212786.6,3761642.4,13212809.52,3761632.46,13212864.06,3761604.84,13212880.54,3761590.45,13212899.05,3761558.38,13212924.1,3761488.37,13212920.09,3761460.37,13212942.57,3761195.92,13212942.01,3761128.91,13212950.03,3761111.89,13212961.05,3761107.85,13213315.59,3761043.86,13213446.52,3761022.91,13213485.03,3761010.87,13213498.06,3761002.9,13213562.5,3760913.4,13213574.52,3760882.37,13213580.53,3760846.92,13213566.07,3760802.82,13213503.07,3760691.33,13213452.53,3760643.84,13213389.49,3760605.38,13213371.58,3760594.38,13213364.57,3760582.34,13213320.6,3760466.93,13213292.99,3760418.39,13213281.09,3760416.43,13213263.06,3760422.45,13213196.61,3760467.85,13213107.52,3760543.34,13212973.07,3760625.91,13212948.58,3760633.38,13212927.1,3760634.42,13212904.06,3760628.92,13212787.04,3760578.93,13212734.06,3760566.38,13212524.54,3760536.94,13212293.55,3760530.39,13212269.5,3760522.93,13212260.05,3760514.82,13212257.04,3760500.81,13212255.6,3760487.86,13212265.5,3760469.42,13212286.1,3760445.87,13212321.48,3760398.38,13212329.06,3760371.93,13212327.05,3760347.86,13212320.04,3760341.84,13212297.56,3760334.9,13212281.53,3760334.9,13212264.5,3760342.89,13212236.56,3760336.88,13212160.54,3760279.82,13212148.52,3760255.88,13212153.53,3760192.95,13212081.59,3760166.9,13212001.56,3760182.87,13211972.51,3760198.83,13211970.5,3760240.84,13211975.51,3760281.39,13211964.61,3760324.84,13211949.02,3760350.87,13211919.08,3760356.37,13211852.52,3760351.92,13211821.54,3760344.33,13211802.06,3760335.42,13211787.6,3760312.4,13211791.48,3760279.42,13211807.07,3760231.41,13211801.06,3760200.4,13211761.55,3760058.83,13211742.07,3759987.38,13211714.02,3759928.89,13211661.6,3759846.86,13211568.54,3759753.83,13211535.0,3759736.81,13211518.09,3759734.86,13211500.5,3759741.4,13211472.0,3759756.44,13211444.51,3759785.36,13211423.03,3759789.43,13211300.04,3759788.37,13211255.6,3759782.35,13211234.56,3759773.32,13211170.56,3759723.34,13211147.07,3759695.34,13211141.5,3759681.35,13211137.61,3759638.43,13211115.57,3759562.93,13211086.52,3759477.9,13211073.61,3759419.41,13211074.05,3759380.42,13211088.08,3759342.88,13211086.08,3759323.39,13211078.06,3759302.84,13211066.6,3759284.91,13211009.57,3759195.42,13210991.54,3759172.92,13210974.07,3759161.41,13210931.1,3759155.39,13210910.07,3759142.83,13210894.03,3759121.37,13210877.56,3759083.42,13210860.53,3759058.43,13210853.08,3759054.9,13210812.12,3759046.93,13210789.08,3759038.94,13210755.09,3759018.41,13210741.07,3759002.45,13210732.49,3758960.44,13210734.05,3758927.88,13210741.51,3758900.4,13210749.08,3758887.84,13210773.57,3758859.44,13210821.58,3758829.89,13210843.62,3758791.94,13210866.1,3758725.88,13210866.1,3758691.86,13210854.52,3758661.37,13210847.07,3758634.42,13210854.08,3758607.34,13210877.0,3758570.45,13210950.02,3758500.32,13210981.08,3758466.84,13210998.99,3758440.93,13211003.56,3758420.9,13211004.0,3758398.4,13210998.55,3758371.86,13210966.61,3758297.4,13210944.57,3758253.86,13210922.53,3758228.87,13210857.65,3758190.15,13210831.6,3758208.72,13210729.61,3758217.21,13210603.81,3758264.06,13210329.85,3758423.65,13210217.08,3758481.75,13210137.05,3758482.15,13210083.07,3758440.14,13210054.13,3758377.74,13210064.03,3758314.16,13210106.11,3758260.14,13210179.13,3758213.68,13210263.09,3758196.68,13210325.08,3758143.31,13210361.15,3758072.27,13210433.61,3757936.21,13210408.12,3757938.3,13210335.66,3757927.72,13210317.63,3757905.2,13210304.61,3757892.79,13210282.56,3757889.26,13210164.54,3757846.73,13210155.08,3757837.32,13210153.64,3757826.2,13210169.11,3757786.31,13210185.14,3757772.3,13210207.62,3757761.69,13210249.14,3757753.2,13210264.61,3757752.8,13210335.1,3757670.26,13210334.1,3757651.82,13210334.66,3757628.79,13210350.57,3757590.2,13210364.6,3757558.28,13210396.1,3757538.79,13210442.06,3757558.28,13210474.57,3757568.74,13210518.57,3757570.71,13210539.61,3757563.78,13210555.64,3757540.76,13210561.65,3757518.26,13210580.12,3757445.26,13210580.12,3757431.79,13210596.15,3757378.28,13210625.09,3757318.77,13210640.12,3757301.89,13210655.15,3757293.9,13210698.11,3757278.87,13210711.13,3757268.39,13210734.86,3757278.73,13210749.08,3757293.38,13210783.59,3757347.81,13210802.62,3757369.91,13210836.61,3757379.34,13210851.64,3757375.41,13210865.66,3757345.32,13210889.59,3757301.89,13210912.63,3757288.8,13210924.09,3757275.86,13210976.63,3757200.37,13211004.56,3757175.92,13211024.6,3757167.41,13211037.63,3757169.38,13211075.14,3757189.39,13211107.68,3757203.38,13211137.61,3757199.86,13211178.57,3757202.35,13211208.63,3757211.37,13211233.55,3757211.37,13211327.09,3757210.32,13211341.64,3757206.39,13211366.6,3757189.91,13211396.1,3757169.24,13211465.67,3757120.32,13211545.14,3757086.3,13211595.6,3757054.39,13211661.16,3757002.86,13211782.59,3756900.82,13211837.57,3756855.82,13211900.61,3756809.9,13211920.53,3756792.39,13211934.11,3756783.36,13211929.1,3756775.91,13211927.1,3756765.96,13211910.63,3756713.91,13211907.06,3756704.34,13211896.6,3756699.9,13211877.57,3756699.9,13211803.51,3756714.43,13211759.1,3756717.43,13211734.06,3756717.43,13211460.1,3756720.82,13211360.59,3756729.33,13211184.02,3756775.91,13211081.07,3756793.96,13211031.53,3756800.88,13210952.59,3756799.44,13210929.54,3756796.43,13210906.62,3756793.96,13210893.03,3756801.93,13210889.59,3756816.84,13210882.13,3756894.94,13210869.11,3756933.38,13210839.61,3756986.38,13210787.07,3757050.87,13210748.52,3757080.42,13210714.58,3757086.84,13210688.09,3757083.95,13210640.56,3757068.92,13210600.6,3757044.85,13210565.3,3757029.66,13210469.48,3756995.66,13210382.51,3756959.43,13210357.02,3756959.43,13210314.62,3756972.37,13210238.04,3757006.52,13210210.51,3757005.99,13210191.95,3756995.92,13210173.12,3756986.38,13210157.53,3756983.37,13210137.05,3756993.95,13210124.03,3757012.8,13210102.54,3757031.89,13210094.53,3757031.89,13210082.95,3757012.26,13210047.56,3756929.86,13210031.53,3756896.38,13210014.06,3756890.36,13209963.6,3756890.88,13209921.08,3756886.95,13209806.55,3756881.33,13209764.03,3756878.84,13209706.56,3756903.43,13209621.08,3756953.93"
江南贡院,"13224618.55,3744198.83,13224641.16,3744146.83,13224485.62,3744079.27,13224464.59,3744134.81,13224618.55,3744198.83"
