roadname	linkid	linkLoc	linkSpeed	linkCongestIndex	linkLength	Roadlength	RoadCongestLength	RoadCongestIndex	RoadAvgSpeed	title
北清路-东向西-朱辛庄西路至二拨子工业园区东路_131_morning	15257703660	116.310671,40.102291,116.310583,40.102276	5.616217217	8.445186176	0.008	10	0.237366621	3.036263434	25.87324754	北清路-东向西-朱辛庄西路至二拨子工业园区东路_131_morning
北清路-东向西-朱辛庄西路至二拨子工业园区东路_131_morning	15258001690	116.305117,40.10128,116.304656,40.101215,116.304477,40.101184,116.303967,40.101128	23.54838388	1.859575597	0.099	10	0.237366621	3.036263434	25.87324754	北清路-东向西-朱辛庄西路至二拨子工业园区东路_131_morning
北清路-东向西-朱辛庄西路至二拨子工业园区东路_131_morning	15258121600	116.310583,40.102276,116.308901,40.101917	4.792612765	9.706605203	0.148	10	0.237366621	3.036263434	25.87324754	北清路-东向西-朱辛庄西路至二拨子工业园区东路_131_morning
北清路-东向西-朱辛庄西路至二拨子工业园区东路_131_morning	15258491750	116.303126,40.101002,116.30215,40.100867	23.54838388	1.857027651	0.084	10	0.237366621	3.036263434	25.87324754	北清路-东向西-朱辛庄西路至二拨子工业园区东路_131_morning
北清路-东向西-朱辛庄西路至二拨子工业园区东路_131_morning	15260276680	116.308901,40.101917,116.306877,40.101492,116.305679,40.101345	4.937911247	9.394660552	0.281	10	0.237366621	3.036263434	25.87324754	北清路-东向西-朱辛庄西路至二拨子工业园区东路_131_morning
北清路-东向西-朱辛庄西路至二拨子工业园区东路_131_morning	15260588320	116.30215,40.100867,116.30047,40.100657,116.299283,40.100421,116.297725,40.099846	8.821590428	5.845884642	0.396	10	0.237366621	3.036263434	25.87324754	北清路-东向西-朱辛庄西路至二拨子工业园区东路_131_morning
北清路-东向西-朱辛庄西路至二拨子工业园区东路_131_morning	15625567790	116.308901,40.101917,116.306877,40.101492,116.305679,40.101345,116.305308,40.101308,116.305117,40.10128	4.937911247	9.394660552	0.331	10	0.237366621	3.036263434	25.87324754	北清路-东向西-朱辛庄西路至二拨子工业园区东路_131_morning
北清路-东向西-朱辛庄西路至二拨子工业园区东路_131_morning	15625579180	116.305679,40.101345,116.305308,40.101308	4.937911247	9.394660552	0.032	10	0.237366621	3.036263434	25.87324754	北清路-东向西-朱辛庄西路至二拨子工业园区东路_131_morning
北四环中路-东向西-安定路至北辰西路_131_morning	15259351240	116.402876,39.994599,116.400699,39.994495,116.400135,39.994475,116.399635,39.994448,116.397747,39.994384	14.08789607	5.097993316	0.438	10	0.365852811	2.718342533	41.31518887	北四环中路-东向西-安定路至北辰西路_131_morning
北四环中路-东向西-安定路至北辰西路_131_morning	15259356720	116.414059,39.99487,116.414021,39.994869,116.413852,39.994868,116.412818,39.994845,116.412246,39.99484	19.0185906	3.813636957	0.154	10	0.365852811	2.718342533	41.31518887	北四环中路-东向西-安定路至北辰西路_131_morning
北四环中路-东向西-安定路至北辰西路_131_morning	15259412910	116.397747,39.994384,116.395714,39.994328	16.26631853	4.320584273	0.174	10	0.365852811	2.718342533	41.31518887	北四环中路-东向西-安定路至北辰西路_131_morning
北四环中路-东向西-安定路至北辰西路_131_morning	15259412980	116.412246,39.99484,116.411315,39.994818	19.0185906	3.789450097	0.079	10	0.365852811	2.718342533	41.31518887	北四环中路-东向西-安定路至北辰西路_131_morning
北四环中路-东向西-安定路至北辰西路_131_morning	15259415230	116.410516,39.994848,116.410457,39.994847,116.408944,39.994804	15.6291951	4.611241944	0.134	10	0.365852811	2.718342533	41.31518887	北四环中路-东向西-安定路至北辰西路_131_morning
北四环中路-东向西-安定路至北辰西路_131_morning	15259419550	116.395714,39.994328,116.394831,39.994333,116.393991,39.994349,116.393867,39.994344,116.393697,39.994334	19.77138308	3.554632457	0.173	10	0.365852811	2.718342533	41.31518887	北四环中路-东向西-安定路至北辰西路_131_morning
